växthusgas,sektor,2017
Totala Växthusgaser (kt CO2-ekv.),"NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",52715
Totala Växthusgaser (kt CO2-ekv.),"NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",62940.4
Totala Växthusgaser (kt CO2-ekv.),"NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",9647.2
Totala Växthusgaser (kt CO2-ekv.),"NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",19872.6
Totala Växthusgaser (kt CO2-ekv.),"ARBETSMASKINER, TOTALT",3302.7
Totala Växthusgaser (kt CO2-ekv.),"AVFALL, TOTALT",1322.5
Totala Växthusgaser (kt CO2-ekv.),"EL OCH FJÄRRVÄRME, TOTALT",4543.9
Totala Växthusgaser (kt CO2-ekv.),"INDUSTRI, TOTALT",17034.8
Totala Växthusgaser (kt CO2-ekv.),"INRIKES TRANSPORTER, TOTALT",16860.6
Totala Växthusgaser (kt CO2-ekv.),"UTRIKES TRANSPORTER, TOTALT",10225.4
Totala Växthusgaser (kt CO2-ekv.),"JORDBRUK, TOTALT",7029.5
Totala Växthusgaser (kt CO2-ekv.),"LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",1695.2
Totala Växthusgaser (kt CO2-ekv.),"UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",925.8
Totala Växthusgaser (kt CO2-ekv.),"MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",-43067.9
